location,date,total_cases,new_cases,total_deaths,new_deaths,new_tests,total_tests,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated
Albania,2020-08-15,7260.0,143.0,225.0,6.0,650.0,45332.0,0.233,4.3,,,
Albania,2020-08-16,7380.0,120.0,228.0,3.0,626.0,45958.0,0.226,4.4,,,
Albania,2020-08-17,7499.0,119.0,230.0,2.0,501.0,46459.0,0.225,4.4,,,
Albania,2020-08-18,7654.0,155.0,232.0,2.0,932.0,47391.0,0.212,4.7,,,
Albania,2020-08-19,7812.0,158.0,234.0,2.0,864.0,48255.0,0.205,4.9,,,
Albania,2020-08-20,7967.0,155.0,238.0,4.0,847.0,49102.0,0.197,5.1,,,
Albania,2020-08-21,8119.0,152.0,240.0,2.0,864.0,49966.0,0.19,5.3,,,
Albania,2020-08-22,8275.0,156.0,245.0,5.0,837.0,50803.0,0.185,5.4,,,
Albania,2020-08-23,8427.0,152.0,250.0,5.0,785.0,51588.0,0.186,5.4,,,
Albania,2020-08-24,8605.0,178.0,254.0,4.0,947.0,52535.0,0.182,5.5,,,
Albania,2020-08-25,8759.0,154.0,259.0,5.0,870.0,53405.0,0.184,5.4,,,
Albania,2020-08-26,8927.0,168.0,263.0,4.0,878.0,54283.0,0.185,5.4,,,
Albania,2020-08-27,9083.0,156.0,266.0,3.0,865.0,55148.0,0.185,5.4,,,
Albania,2020-08-28,9195.0,112.0,271.0,5.0,801.0,55949.0,0.18,5.6,,,
Albania,2020-08-29,9279.0,84.0,275.0,4.0,796.0,56745.0,0.169,5.9,,,
Albania,2020-08-30,9380.0,101.0,280.0,5.0,803.0,57548.0,0.16,6.3,,,
Albania,2020-08-31,9513.0,133.0,284.0,4.0,820.0,58368.0,0.156,6.4,,,
Albania,2020-09-01,9606.0,93.0,290.0,6.0,812.0,59180.0,0.147,6.8,,,
Albania,2020-09-02,9728.0,122.0,296.0,6.0,856.0,60036.0,0.139,7.2,,,
Albania,2020-09-03,9844.0,116.0,301.0,5.0,835.0,60871.0,0.133,7.5,,,
Albania,2020-09-04,9967.0,123.0,306.0,5.0,857.0,61728.0,0.134,7.5,,,
Albania,2020-09-05,10102.0,135.0,312.0,6.0,860.0,62588.0,0.141,7.1,,,
Albania,2020-09-06,10255.0,153.0,316.0,4.0,847.0,63435.0,0.149,6.7,,,
Albania,2020-09-07,10406.0,151.0,319.0,3.0,824.0,64259.0,0.152,6.6,,,
Albania,2020-09-08,10553.0,147.0,321.0,2.0,830.0,65089.0,0.16,6.2,,,
Albania,2020-09-09,10704.0,151.0,322.0,1.0,852.0,65941.0,0.165,6.1,,,
Albania,2020-09-10,10860.0,156.0,324.0,2.0,870.0,66811.0,0.171,5.8,,,
Albania,2020-09-11,11021.0,161.0,327.0,3.0,875.0,67686.0,0.177,5.7,,,
Albania,2020-09-12,11185.0,164.0,330.0,3.0,872.0,68558.0,0.181,5.5,,,
Albania,2020-09-13,11353.0,168.0,334.0,4.0,877.0,69435.0,0.183,5.5,,,
Albania,2020-09-14,11520.0,167.0,338.0,4.0,862.0,70297.0,0.184,5.4,,,
Albania,2020-09-15,11672.0,152.0,340.0,2.0,810.0,71107.0,0.186,5.4,,,
Albania,2020-09-16,11816.0,144.0,343.0,3.0,824.0,71931.0,0.186,5.4,,,
Albania,2020-09-17,11948.0,132.0,347.0,4.0,817.0,72748.0,0.183,5.5,,,
Albania,2020-09-18,12073.0,125.0,353.0,6.0,833.0,73581.0,0.178,5.6,,,
Albania,2020-09-19,12226.0,153.0,358.0,5.0,836.0,74417.0,0.178,5.6,,,
Albania,2020-09-20,12385.0,159.0,362.0,4.0,844.0,75261.0,0.177,5.6,,,
Albania,2020-09-21,12535.0,150.0,364.0,2.0,809.0,76070.0,0.176,5.7,,,
Albania,2020-09-22,12666.0,131.0,367.0,3.0,825.0,76895.0,0.172,5.8,,,
Albania,2020-09-23,12787.0,121.0,370.0,3.0,887.0,77782.0,0.166,6.0,,,
Albania,2020-09-24,12921.0,134.0,370.0,0.0,852.0,78634.0,0.165,6.1,,,
Albania,2020-09-25,13045.0,124.0,373.0,3.0,808.0,79442.0,0.166,6.0,,,
Albania,2020-09-26,13153.0,108.0,375.0,2.0,811.0,80253.0,0.159,6.3,,,
Albania,2020-09-27,13259.0,106.0,377.0,2.0,832.0,81085.0,0.15,6.7,,,
Albania,2020-09-28,13391.0,132.0,380.0,3.0,824.0,81909.0,0.147,6.8,,,
Albania,2020-09-29,13518.0,127.0,384.0,4.0,820.0,82729.0,0.146,6.8,,,
Albania,2020-09-30,13649.0,131.0,387.0,3.0,842.0,83571.0,0.149,6.7,,,
Albania,2020-10-01,13806.0,157.0,388.0,1.0,1013.0,84584.0,0.149,6.7,,,
Albania,2020-10-02,13965.0,159.0,389.0,1.0,1085.0,85669.0,0.148,6.8,,,
Albania,2020-10-03,14117.0,152.0,392.0,3.0,1008.0,86677.0,0.15,6.7,,,
Albania,2020-10-04,14266.0,149.0,396.0,4.0,963.0,87640.0,0.154,6.5,,,
Albania,2020-10-05,14410.0,144.0,400.0,4.0,912.0,88552.0,0.153,6.5,,,
Albania,2020-10-06,14568.0,158.0,403.0,3.0,905.0,89457.0,0.156,6.4,,,
Albania,2020-10-07,14730.0,162.0,407.0,4.0,914.0,90371.0,0.159,6.3,,,
Albania,2020-10-08,14899.0,169.0,411.0,4.0,971.0,91342.0,0.162,6.2,,,
Albania,2020-10-09,15066.0,167.0,413.0,2.0,932.0,92274.0,0.167,6.0,,,
Albania,2020-10-10,15231.0,165.0,416.0,3.0,960.0,93234.0,0.17,5.9,,,
Albania,2020-10-11,15399.0,168.0,420.0,4.0,943.0,94177.0,0.173,5.8,,,
Albania,2020-10-12,15570.0,171.0,424.0,4.0,952.0,95129.0,0.176,5.7,,,
Albania,2020-10-13,15752.0,182.0,429.0,5.0,1055.0,96184.0,0.176,5.7,,,
Albania,2020-10-14,15955.0,203.0,434.0,5.0,1351.0,97535.0,0.171,5.8,,,
Albania,2020-10-15,16212.0,257.0,439.0,5.0,1398.0,98933.0,0.173,5.8,,,
Albania,2020-10-16,16501.0,289.0,443.0,4.0,1402.0,100335.0,0.178,5.6,,,
Albania,2020-10-17,16774.0,273.0,448.0,5.0,1289.0,101624.0,0.184,5.4,,,
Albania,2020-10-18,17055.0,281.0,451.0,3.0,1276.0,102900.0,0.19,5.3,,,
Albania,2020-10-19,17350.0,295.0,454.0,3.0,1413.0,104313.0,0.194,5.2,,,
Albania,2020-10-20,17651.0,301.0,458.0,4.0,1407.0,105720.0,0.199,5.0,,,
Albania,2020-10-21,17948.0,297.0,462.0,4.0,1375.0,107095.0,0.208,4.8,,,
Albania,2020-10-22,18250.0,302.0,465.0,3.0,1405.0,108500.0,0.213,4.7,,,
Albania,2020-10-23,18556.0,306.0,469.0,4.0,1412.0,109912.0,0.215,4.7,,,
Albania,2020-10-24,18858.0,302.0,473.0,4.0,1329.0,111241.0,0.217,4.6,,,
Albania,2020-10-25,19157.0,299.0,477.0,4.0,1315.0,112556.0,0.218,4.6,,,
Albania,2020-10-26,19445.0,288.0,480.0,3.0,1304.0,113860.0,0.219,4.6,,,
Albania,2020-10-27,19729.0,284.0,487.0,7.0,1278.0,115138.0,0.221,4.5,,,
Albania,2020-10-28,20040.0,311.0,493.0,6.0,1397.0,116535.0,0.222,4.5,,,
Albania,2020-10-29,20315.0,275.0,499.0,6.0,1422.0,117957.0,0.218,4.6,,,
Albania,2020-10-30,20634.0,319.0,502.0,3.0,1534.0,119491.0,0.217,4.6,,,
Albania,2020-10-31,20875.0,241.0,509.0,7.0,1260.0,120751.0,0.212,4.7,,,
Albania,2020-11-01,21202.0,327.0,518.0,9.0,1472.0,122223.0,0.212,4.7,,,
Albania,2020-11-02,21523.0,321.0,527.0,9.0,1446.0,123669.0,0.212,4.7,,,
Albania,2020-11-03,21904.0,381.0,532.0,5.0,1684.0,125353.0,0.213,4.7,,,
Albania,2020-11-04,22300.0,396.0,536.0,4.0,1725.0,127078.0,0.214,4.7,,,
Albania,2020-11-05,22721.0,421.0,543.0,7.0,1744.0,128822.0,0.221,4.5,,,
Albania,2020-11-06,23210.0,489.0,549.0,6.0,1954.0,130776.0,0.228,4.4,,,
Albania,2020-11-07,23705.0,495.0,557.0,8.0,1927.0,132703.0,0.237,4.2,,,
Albania,2020-11-08,24206.0,501.0,559.0,2.0,1942.0,134645.0,0.242,4.1,,,
Albania,2020-11-09,24731.0,525.0,571.0,12.0,1967.0,136612.0,0.248,4.0,,,
Albania,2020-11-10,25294.0,563.0,579.0,8.0,1739.0,138351.0,0.261,3.8,,,
Albania,2020-11-11,25801.0,507.0,590.0,11.0,1864.0,140215.0,0.266,3.8,,,
Albania,2020-11-12,26211.0,410.0,598.0,8.0,1559.0,141774.0,0.269,3.7,,,
Albania,2020-11-13,26701.0,490.0,605.0,7.0,2051.0,143825.0,0.268,3.7,,,
Albania,2020-11-14,27233.0,532.0,612.0,7.0,2055.0,145880.0,0.268,3.7,,,
Albania,2020-11-15,27830.0,597.0,623.0,11.0,2106.0,147986.0,0.272,3.7,,,
Albania,2020-11-16,28432.0,602.0,631.0,8.0,2086.0,150072.0,0.275,3.6,,,
Albania,2020-11-17,29126.0,694.0,637.0,6.0,2137.0,152209.0,0.276,3.6,,,
Albania,2020-11-18,29837.0,711.0,646.0,9.0,2117.0,154326.0,0.286,3.5,,,
Albania,2020-11-19,30623.0,786.0,657.0,11.0,2152.0,156478.0,0.3,3.3,,,
Albania,2020-11-20,31459.0,836.0,672.0,15.0,2198.0,158676.0,0.32,3.1,,,
Albania,2020-11-21,32196.0,737.0,685.0,13.0,1942.0,160618.0,0.337,3.0,,,
Albania,2020-11-22,32761.0,565.0,699.0,14.0,1627.0,162245.0,0.346,2.9,,,
Albania,2020-11-23,33556.0,795.0,716.0,17.0,2032.0,164277.0,0.361,2.8,,,
Albania,2020-11-24,34300.0,744.0,735.0,19.0,2095.0,166372.0,0.365,2.7,,,
Albania,2020-11-25,34944.0,644.0,743.0,8.0,1727.0,168099.0,0.371,2.7,,,
Albania,2020-11-26,35600.0,656.0,753.0,10.0,1777.0,169876.0,0.371,2.7,,,
Albania,2020-11-27,36245.0,645.0,771.0,18.0,1778.0,171654.0,0.369,2.7,,,
Albania,2020-11-28,36790.0,545.0,787.0,16.0,1416.0,173070.0,0.369,2.7,,,
Albania,2020-11-29,37625.0,835.0,798.0,11.0,2120.0,175190.0,0.376,2.7,,,
Albania,2020-11-30,38182.0,557.0,810.0,12.0,1948.0,177138.0,0.36,2.8,,,
Albania,2020-12-01,39014.0,832.0,822.0,12.0,1702.0,178840.0,0.378,2.6,,,
Albania,2020-12-02,39719.0,705.0,839.0,17.0,1830.0,180670.0,0.38,2.6,,,
Albania,2020-12-03,40501.0,782.0,852.0,13.0,2125.0,182795.0,0.379,2.6,,,
Albania,2020-12-04,41302.0,801.0,870.0,18.0,1915.0,184710.0,0.387,2.6,,,
Albania,2020-12-05,42148.0,846.0,889.0,19.0,1851.0,186561.0,0.397,2.5,,,
Albania,2020-12-06,42988.0,840.0,905.0,16.0,2063.0,188624.0,0.399,2.5,,,
Albania,2020-12-07,43683.0,695.0,922.0,17.0,1963.0,190587.0,0.409,2.4,,,
Albania,2020-12-08,44436.0,753.0,936.0,14.0,2532.0,193119.0,0.38,2.6,,,
Albania,2020-12-09,45188.0,752.0,951.0,15.0,2620.0,195739.0,0.363,2.8,,,
Albania,2020-12-10,46061.0,873.0,965.0,14.0,2714.0,198453.0,0.355,2.8,,,
Albania,2020-12-11,46863.0,802.0,977.0,12.0,2604.0,201057.0,0.34,2.9,,,
Albania,2020-12-12,47742.0,879.0,989.0,12.0,2734.0,203791.0,0.325,3.1,,,
Albania,2020-12-13,48530.0,788.0,1003.0,14.0,2501.0,206292.0,0.314,3.2,,,
